"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","GeneRatio_a","BgRatio_a"
"GO:0045837","GO:0045837","negative regulation of membrane potential","6/8420","14/18986",0.428571428571429,0.966372582287072,-0.112358781770522,0.644400810209858,1,0.898157688661748,"BAX/PMAIP1/ADCY10/PIP5KL1/PRELID1/MAPT",6,6,14
"GO:0046500","GO:0046500","S-adenosylmethionine metabolic process","6/8420","14/18986",0.428571428571429,0.966372582287072,-0.112358781770522,0.644400810209858,1,0.898157688661748,"MRI1/AHCY/MTRR/GNMT/ENOPH1/MAT1A",6,6,14
"GO:0046761","GO:0046761","viral budding from plasma membrane","6/8420","14/18986",0.428571428571429,0.966372582287072,-0.112358781770522,0.644400810209858,1,0.898157688661748,"CHMP5/CHMP4B/CHMP2A/CHMP1A/CHMP4C/CHMP6",6,6,14
"GO:0051764","GO:0051764","actin crosslink formation","6/8420","14/18986",0.428571428571429,0.966372582287072,-0.112358781770522,0.644400810209858,1,0.898157688661748,"BAIAP2L1/BAIAP2L2/LCP1/GAS2L3/DIAPH3/BAIAP2",6,6,14
"GO:0060019","GO:0060019","radial glial cell differentiation","6/8420","14/18986",0.428571428571429,0.966372582287072,-0.112358781770522,0.644400810209858,1,0.898157688661748,"METRN/HES1/EMX1/LEF1/CDH2/GPR157",6,6,14
"GO:0060572","GO:0060572","morphogenesis of an epithelial bud","6/8420","14/18986",0.428571428571429,0.966372582287072,-0.112358781770522,0.644400810209858,1,0.898157688661748,"BMP7/WNT2/WNT5A/RDH10/SULF1/SHH",6,6,14
"GO:0061469","GO:0061469","regulation of type B pancreatic cell proliferation","6/8420","14/18986",0.428571428571429,0.966372582287072,-0.112358781770522,0.644400810209858,1,0.898157688661748,"PTPRN/PHOX2B/CDK4/PDX1/WNT3A/SGPP2",6,6,14
"GO:0070943","GO:0070943","neutrophil-mediated killing of symbiont cell","6/8420","14/18986",0.428571428571429,0.966372582287072,-0.112358781770522,0.644400810209858,1,0.898157688661748,"TUSC2/TREM1/AZU1/MYD88/NLRP6/F2",6,6,14
"GO:0071472","GO:0071472","cellular response to salt stress","6/8420","14/18986",0.428571428571429,0.966372582287072,-0.112358781770522,0.644400810209858,1,0.898157688661748,"XRCC5/MICU1/EFHD1/FBP1/LETM1/XRCC6",6,6,14
"GO:0072160","GO:0072160","nephron tubule epithelial cell differentiation","6/8420","14/18986",0.428571428571429,0.966372582287072,-0.112358781770522,0.644400810209858,1,0.898157688661748,"PAX2/GATA3/STAT1/MTSS1/CD24/LHX1",6,6,14
"GO:0090153","GO:0090153","regulation of sphingolipid biosynthetic process","6/8420","14/18986",0.428571428571429,0.966372582287072,-0.112358781770522,0.644400810209858,1,0.898157688661748,"SPHK2/ORMDL2/PAQR4/PRKCD/SPHK1/ENPP7",6,6,14
"GO:1900426","GO:1900426","positive regulation of defense response to bacterium","6/8420","14/18986",0.428571428571429,0.966372582287072,-0.112358781770522,0.644400810209858,1,0.898157688661748,"GRN/CYBA/PGC/HAVCR2/EMILIN1/NOD2",6,6,14
"GO:1901077","GO:1901077","regulation of relaxation of muscle","6/8420","14/18986",0.428571428571429,0.966372582287072,-0.112358781770522,0.644400810209858,1,0.898157688661748,"ABCC8/SRI/CHGA/SLN/GRK2/TIFAB",6,6,14
"GO:1901653","GO:1901653","cellular response to peptide","6/8420","14/18986",0.428571428571429,0.966372582287072,-0.112358781770522,0.644400810209858,1,0.898157688661748,"CASR/TIMP1/SMPD3/KLF1/PPP1R9B/AKT1",6,6,14
"GO:2000303","GO:2000303","regulation of ceramide biosynthetic process","6/8420","14/18986",0.428571428571429,0.966372582287072,-0.112358781770522,0.644400810209858,1,0.898157688661748,"SPHK2/ORMDL2/PAQR4/PRKCD/SPHK1/ENPP7",6,6,14
