	DGRP-551_1d_WholeBrain_Unstranded_RNA-seq	DGRP-551_1d_WholeBrain_Stranded_RNA-seq	w1118_1d_WholeBrain_Unstranded_RNA-seq	w1118_1d_WholeBrain_Stranded_RNA-seq	DGRP-551_1d_WholeBrainNuclei_Unstranded_Rep1_RNA-seq	DGRP-551_1d_WholeBrainNuclei_Unstranded_Rep2_RNA-seq
Sfp51E	1.840843136923445	2.543895573023547	3.7651007609238714	4.5430539035303825	1.0599594064193991	1.6802079613451046
Sfp53D	0.0	0.0	0.0	0.0	1.0599594064193991	9.745206175801608
Sfp60F	0.368168627384689	0.0	0.0	0.0	0.0	0.0
Sfp65A	0.736337254769378	0.0	0.0	3.0287026023535883	2.1199188128387982	0.3360415922690209
Sfp70A4	0.0	0.0	0.0	0.0	0.0	0.0
CG42481	0.368168627384689	10.175582292094187	0.0	1.5143513011767942	0.0	0.0
Sfp77F	0.368168627384689	2.543895573023547	0.0	0.0	1.0599594064193991	7.728956622187481
Sfp79B	0.0	0.0	0.0	0.0	0.0	0.3360415922690209
Sfp84E	0.0	0.0	0.0	0.0	0.0	1.0081247768070627
Sfp87B	0.736337254769378	0.0	0.0	0.0	0.0	4.368540699497272
Tdc1	5.890698038155024	10.175582292094187	5.647651141385807	7.571756505883971	1.0599594064193991	1.3441663690760837
vlc	446.5885450176277	480.7962633014503	489.4630989201033	520.9368476048172	801.3293112530658	466.08968847713203
CG17337	272.44478426466986	302.72357318980204	291.79530897160004	322.55682715065717	467.4420982309551	517.5040520942922
l(2)35Cc	19.881105878773205	22.89506015721192	18.82550380461936	9.086107807060765	14.839431689871589	17.81020439025811
kuz	687.738995954599	602.9032508065806	692.7785400099923	728.402975866038	1083.278513360626	799.7789896002698
Mppe	144.69027056218277	160.26542110048345	118.60067396910195	151.43513011767942	181.25305849771726	83.67435647498621
nab	0.0	0.0	0.0	1.5143513011767942	1.0599594064193991	4.032499107228251
CG42486	0.0	0.0	0.0	0.0	0.0	0.0
CG42487	0.0	0.0	0.0	0.0	0.0	0.0
CG42488	0.0	0.0	0.0	0.0	0.0	0.0
CG42489	53.01628234339521	81.4046583367535	37.65100760923872	68.14580855295573	25.439025754065582	134.7526784998774
CR42491	193.6566980043464	147.5459432353657	156.25168157834068	143.86337361179545	434.5833566319537	164.66038021182027
CG42492	7016.9258693247875	6621.760176580292	6831.775330696365	6631.344347853182	8049.331732348917	5588.035637841549
CR40341	2.577180391692823	35.614538022329654	0.0	9.086107807060765	4.2398376256775965	6.384790253111397
CG17571	0.0	0.0	0.0	0.0	0.0	0.3360415922690209
CG17570	0.0	0.0	0.0	1.5143513011767942	0.0	0.0
snoRNA:Me28S-U2134b	0.368168627384689	0.0	0.0	0.0	1.0599594064193991	1.0081247768070627
Dys	2062.8488192364125	1737.4806763750823	2106.5738757369063	2009.5441766616057	1706.5346443352328	1143.5495384914782
Snmp1	13.254070585848803	15.263373438141281	3.7651007609238714	9.086107807060765	23.31910694122678	9.409164583532586
wtrw	1460.5249448350612	1371.1597138596917	2473.6711999269837	2274.555654367545	1719.2541572122655	1656.6850498862732
drd	98.30102351171196	91.58024062884768	197.66778994850324	219.58093867063513	58.29776735306696	79.64185736775796
CG42493	0.0	2.543895573023547	0.0	1.5143513011767942	0.0	0.3360415922690209
UQCR-11	220.5330078034287	653.7811622670515	278.6174563083665	593.6257100613033	328.58741599001377	1077.3493448144811
NimC4	18.04026274184976	30.526746876282562	45.181209131086455	75.71756505883971	1.0599594064193991	49.7341556558151
pds5	492.2414548133292	432.46224741400295	353.9194715268439	377.0734739930217	574.4979982793144	347.4670064061676
CG42494	36.8168627384689	45.79012031442384	48.946309892010326	40.88748513177344	66.77744260442215	188.18329167065173
CG42495	18.04026274184976	40.70232916837675	15.060403043695485	18.17221561412153	15.899391096290989	48.05394769446999
flr	149.84463134556842	150.08983880838926	188.25503804619356	169.60734573180093	211.99188128387985	133.4085121308013
CG42496	0.0	0.0	0.0	0.0	0.0	0.0
CG42497	0.0	0.0	0.0	0.0	0.0	0.0
CG42498	0.0	0.0	0.0	0.0	0.0	0.0
CR42499	0.0	0.0	0.0	0.0	0.0	0.0
CG42500	0.736337254769378	0.0	0.0	0.0	1.0599594064193991	0.6720831845380418
CG42502	0.0	0.0	0.0	0.0	0.0	0.0
CG42503	0.0	0.0	0.0	0.0	0.0	0.0
CG42504	0.0	0.0	0.0	0.0	0.0	0.0
CG42505	0.0	0.0	0.0	0.0	0.0	0.0
CG42507	0.0	0.0	0.0	0.0	0.0	0.0
Xport-B	0.0	0.0	0.0	0.0	0.0	0.3360415922690209
CG42511	0.0	0.0	0.0	0.0	0.0	0.0
CG42512	0.0	0.0	0.0	0.0	0.0	0.0
E(var)3-9	128.49085095725647	122.10698750513025	124.24832511048776	130.2342119012043	147.3343574922965	146.85017582156215
mtg	20.249274506157896	15.263373438141281	43.29865875062452	27.258323421182293	40.27845744393717	39.31686629547545
CG42514	276.8628077932861	267.1090351674724	165.66443348065036	189.29391264709926	419.7439249420821	182.8066261943474
CG42516	0.0	0.0	0.0	0.0	0.0	0.0
CG42518	0.0	0.0	0.0	0.0	0.0	0.0
CG17147	0.0	0.0	0.0	0.0	0.0	1.0081247768070627
CG42521	1.104505882154067	0.0	1.8825503804619357	0.0	0.0	0.0
Su(var)3-3	150.94913722772247	190.792167976766	152.4865808174168	136.29161710591146	155.8140327436517	96.77997857347803
Pbp49	0.0	0.0	0.0	0.0	0.0	0.0
gwl	1.104505882154067	0.0	0.0	4.5430539035303825	1.0599594064193991	3.3604159226902093
