Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,
UV,,Conductivity,,Gradient Concentration,,System Flow,,Pressure,,Fraction,,Injection,,Run Log,,
ml,mAU,ml,mS/cm,ml,%B,ml,ml/min,ml,MPa,ml,Fraction,ml,Injection,ml,Logbook,
1.176,346.79,1.176,0.27,1.176,0,1.176,1,1.176,0,,,,,,,
1.183,346.7981,1.183,0.27,1.183,0,1.183,1,1.183,0,,,,,,,
1.19,346.81,1.19,0.27,1.19,0,1.19,1,1.19,0,,,,,,,
1.197,346.8202,1.197,0.27,1.197,0,1.197,1,1.197,0,,,,,,,
1.204,346.83,1.204,0.27,1.204,0,1.204,1,1.204,0,,,,,,,
1.211,346.8522,1.211,0.27,1.211,0,1.211,1,1.211,0,,,,,,,
1.218,346.86,1.218,0.27,1.218,0,1.218,1,1.218,0,,,,,,,
1.225,346.874,1.225,0.27,1.225,0,1.225,1,1.225,0,,,,,,,
1.232,346.88,1.232,0.27,1.232,0,1.232,1,1.232,0,,,,,,,
1.239,346.89,1.239,0.27,1.239,0,1.239,1,1.239,0,,,,,,,
1.246,346.897,1.246,0.27,1.246,0,1.246,1,1.246,0,,,,,,,
1.253,346.92,1.253,0.27,1.253,0,1.253,1,1.253,0,,,,,,,
1.26,346.92,1.26,0.27,1.26,0,1.26,1,1.26,0,,,,,,,
1.267,346.93,1.267,0.27,1.267,0,1.267,1,1.267,0,,,,,,,
1.274,346.94,1.274,0.27,1.274,0,1.274,1,1.274,0,,,,,,,
1.281,346.94,1.281,0.27,1.281,0,1.281,1,1.281,0,,,,,,,
1.288,346.94,1.288,0.27,1.288,0,1.288,1,1.288,0,,,,,,,
1.295,346.94,1.295,0.27,1.295,0,1.295,1,1.295,0,,,,,,,
1.302,346.94,1.302,0.27,1.302,0,1.302,1,1.302,0,,,,,,,
1.309,346.94,1.309,0.27,1.309,0,1.309,1,1.309,0,,,,,,,
1.316,346.94,1.316,0.27,1.316,0,1.316,1,1.316,0,,,,,,,
1.323,346.9478,1.323,0.27,1.323,0,1.323,1,1.323,0,,,,,,,
1.33,346.95,1.33,0.27,1.33,0,1.33,1,1.33,0,,,,,,,
1.337,346.95,1.337,0.27,1.337,0,1.337,1,1.337,0,,,,,,,
1.344,346.96,1.344,0.27,1.344,0,1.344,1,1.344,0,,,,,,,
1.351,346.9615,1.351,0.27,1.351,0,1.351,1,1.351,0,,,,,,,
1.358,346.97,1.358,0.27,1.358,0,1.358,1,1.358,0,,,,,,,
1.365,346.98,1.365,0.27,1.365,0,1.365,1,1.365,0,,,,,,,
1.372,346.98,1.372,0.27,1.372,0,1.372,1,1.372,0,,,,,,,
1.379,346.97,1.379,0.27,1.379,0,1.379,1,1.379,0.00553639,,,,,,,
1.386,346.97,1.386,0.27,1.386,0,1.386,1,1.386,0.01,,,,,,,
1.393,346.9875,1.393,0.27,1.393,0,1.393,1,1.393,0.01,,,,,,,
1.4,346.99,1.4,0.27,1.4,0,1.4,1,1.4,0.01,,,,,,,
1.407,347,1.407,0.27,1.407,0,1.407,1,1.407,0.01,,,,,,,
1.414,347.0105,1.414,0.27,1.414,0,1.414,1,1.414,0.01,,,,,,,
1.421,347.03,1.421,0.27,1.421,0,1.421,1,1.421,0.01,,,,,,,
1.428,347.0424,1.428,0.27,1.428,0,1.428,1,1.428,0.01,,,,,,,
1.434,347.05,1.434,0.27,1.434,0,1.434,1,1.434,0.01,,,,,,,
1.441,347.0643,1.441,0.27,1.441,0,1.441,1,1.441,0.01,,,,,,,
1.448,347.07,1.448,0.27,1.448,0,1.448,1,1.448,0.01,,,,,,,
1.455,347.0864,1.455,0.27,1.455,0,1.455,1,1.455,0.01,,,,,,,
1.462,347.09,1.462,0.27,1.462,0,1.462,1,1.462,0.002715318,,,,,,,
1.469,347.1182,1.469,0.27,1.469,0,1.469,1,1.469,0,,,,,,,
1.476,347.12,1.476,0.27,1.476,0,1.476,1,1.476,0,,,,,,,
1.483,347.16,1.483,0.27,1.483,0,1.483,1,1.483,0,,,,,,,
1.49,347.1723,1.49,0.27,1.49,0,1.49,1,1.49,0,,,,,,,
1.497,347.2,1.497,0.27,1.497,0,1.497,1,1.497,0,,,,,,,
1.504,347.2297,1.504,0.27,1.504,0,1.504,1,1.504,0,,,,,,,
1.511,347.26,1.511,0.27,1.511,0,1.511,1,1.511,0,,,,,,,
1.518,347.2954,1.518,0.27,1.518,0,1.518,1,1.518,0,,,,,,,
1.525,347.31,1.525,0.27,1.525,0,1.525,1,1.525,0,,,,,,,
1.532,347.3613,1.532,0.27,1.532,0,1.532,1,1.532,0,,,,,,,
1.539,347.37,1.539,0.27,1.539,0,1.539,1,1.539,0,,,,,,,
1.546,347.4375,1.546,0.27,1.546,0,1.546,1,1.546,0,,,,,,,
