,cluster,acc,mean nUMI,declining R^2,AUC,DC-age,DC,Cell Counts
27,27,0.6677614433973351,6181.537753222836,0.8148637289446319,0.20721419579451963,0.661702608079749,DC7,543
28,28,0.48626324133178844,2717.785714285714,0.9238231381433839,0.1935513280264467,0.279536790922054,DC2,518
29,29,0.5870624785645493,2936.7868217054265,0.8571090786206276,0.16113340330233672,0.102725192860931,DC6,516
30,30,0.5842292891233123,3866.194552529183,0.8324865561529196,0.1874224626631044,0.240205084458694,DC6,514
31,31,0.49636820609065974,2189.887573964497,0.8886399412258926,0.1731597284346332,0.41981487671697,DC1,507
32,32,0.7713407127850472,15349.180914512923,0.08724950417846633,0.17416404004807726,0.7846207147712,DC1,503
33,33,0.5478345713644449,2034.0615711252653,0.9289387936389502,0.1703314321612194,0.363727931294212,DC1,471
34,34,0.3799354944025538,3945.4454148471614,0.7854619801102325,0.18764246688350109,0.20149879695956,DC5,458
35,35,0.5592914279860777,3726.68,0.803130885628196,0.17101076927838935,0.415980584926735,DC2,450
36,36,0.39010791320974036,4115.692482915718,0.8562080273189221,0.18022712793932097,0.361712108613024,DC2,439
37,37,0.4785248579225813,3079.416091954023,0.7878005545886642,0.18591281038444085,0.207991443419333,DC1,435
38,38,0.23398455056870224,3759.4923469387754,0.7329991894112469,0.17872695253362078,0.241018695205283,DC1,392
39,39,0.7507501046867884,4269.691099476439,0.9597792054487994,0.20111508845642637,0.682496496759248,DC3,382
40,40,0.3016824861240997,2405.7733333333335,0.0637565838877645,0.1723777178322633,0.44998575279663,DC3,375
41,41,0.5184778770957708,1969.2222222222222,0.9609033806337628,0.18473841379797495,0.497902264128123,DC3,351
42,42,0.3311715326842733,3715.8962536023055,0.9635950136001723,0.1806430255621555,0.388934961978964,DC3,347
43,43,0.40847926661814843,4599.820359281437,0.7300736463256154,0.1563542560268664,0.395261224812435,DC6,334
44,44,0.4612748572009654,4599.738601823708,0.8478949454622312,0.18247798151541467,0.0518942136928094,DC7,329
45,45,0.6028773674607667,2691.163076923077,0.9045923918847528,0.18603212773173247,0.515855180947269,DC1,325
46,46,0.3647334629478152,9434.61846153846,0.10652216160085959,0.18725593506585236,0.330085511919291,DC4,325
47,47,0.414313600997977,3143.55,0.4647507605014932,0.1744365581995041,0.414771912473327,DC4,320
